date,open,high,low,close,volume,dividends,stock splits,ma5,ma20,ma50,ma200,price_vs_ma20,price_vs_ma50,price_vs_ma200,rsi,macd,macd_signal,macd_hist,atr,volume_ma20,volume_ratio,daily_ret,rvol7d,rvol30d
2021-06-02 00:00:00-04:00,16.211393881108727,16.876218447528885,16.194685654349467,16.73607063293457,594168000,0.0,0.0,16.73607063293457,16.73607063293457,16.73607063293457,16.73607063293457,0.0,0.0,0.0,,0.0,0.0,0.0,0.681532793179418,594168000.0,1.0,,,
2021-06-03 00:00:00-04:00,16.658764943328784,17.215611938318762,16.541310797438655,16.927087783813477,580008000,0.0,0.0,16.831579208374023,16.831579208374023,16.831579208374023,16.831579208374023,0.00567436805881743,0.00567436805881743,0.00567436805881743,,0.015237835397744703,0.003047567079548941,0.012190268318195762,0.6810162465866101,587088000.0,0.987940479110457,0.011413500520427222,,
2021-06-04 00:00:00-04:00,17.069478766631683,17.616599909816845,17.052523208969372,17.534059524536133,617120000,0.0,0.0,17.065739313761394,17.065739313761394,17.065739313761394,17.065739313761394,0.02744212847533048,0.02744212847533048,0.02744212847533048,,0.07542205799895285,0.017522465263429723,0.05789959273552313,0.6816230951163785,597098666.6666666,1.0335310300475187,0.03585801340872541,,
2021-06-07 00:00:00-04:00,17.52707469646401,17.76771725198459,17.149526305796652,17.574703216552734,575756000,0.0,0.0,17.19298028945923,17.19298028945923,17.19298028945923,17.19298028945923,0.022202254679925083,0.022202254679925083,0.022202254679925083,,0.12495766016363063,0.039009504243469904,0.08594815592016072,0.6770922273357756,591763000.0,0.9729503196380984,0.0023179852879890994,,
2021-06-08 00:00:00-04:00,17.483181755642672,17.577194510142903,17.207625490251473,17.413108825683594,323848000,0.0,0.0,17.237005996704102,17.237005996704102,17.237005996704102,17.237005996704102,0.010216555532507455,0.010216555532507455,0.010216555532507455,94.35742168905158,0.14945286532116597,0.06109817645900912,0.08835468886215686,0.6551262839468937,538180000.0,0.6017466275223903,-0.009194715203892811,30.37036233336366,
2021-06-09 00:00:00-04:00,17.475719983872768,17.53483445076462,17.216313965511866,17.318578720092773,381656000,0.004,0.0,17.353507614135744,17.250601450602215,17.250601450602215,17.250601450602215,0.003940573880001479,0.003940573880001479,0.003940573880001479,91.11841174871455,0.1594002356929458,0.08075858830579646,0.07864164738714935,0.631083012611598,512092666.6666667,0.7452869858189728,-0.005428674829815128,28.518120566922544,
2021-06-10 00:00:00-04:00,17.310342556220977,17.452018177125396,17.136740490476285,17.385169982910156,287772000,0.0,0.0,17.445124053955077,17.269825526646205,17.269825526646205,17.269825526646205,0.006678958978825958,0.006678958978825958,0.006678958978825958,91.34383238133825,0.17068935611560931,0.09874474186775904,0.07194461424785027,0.6085254893285633,480046857.14285713,0.5994664806530792,0.003845076659791058,25.588847260450116,
2021-06-11 00:00:00-04:00,17.43954908988243,17.89824942284033,17.4038813625128,17.784509658813477,416308000,0.0,0.0,17.49521408081055,17.334161043167114,17.334161043167114,17.334161043167114,0.02598041027338231,0.02598041027338231,0.02598041027338231,92.56287286399298,0.2094450872183522,0.12088481093787767,0.08856027628047453,0.6017079143715355,472079500.0,0.8818599409633335,0.022970133527361325,25.37097999734242,
2021-06-14 00:00:00-04:00,17.865080050096797,17.998274113696997,17.622386049166344,17.977571487426758,321376000,0.0,0.0,17.57578773498535,17.405651092529297,17.405651092529297,17.405651092529297,0.0328583166384931,0.0328583166384931,0.0328583166384931,93.07092291689968,0.2528233690005557,0.1472725225504133,0.1055508464501424,0.5855779250971868,455334666.6666667,0.7058017399656223,0.0108556171813039,25.349281349850717,
2021-06-15 00:00:00-04:00,17.874054743695652,17.975073024219547,17.687481873167364,17.74784278869629,243032000,0.0,0.0,17.64273452758789,17.439870262145995,17.439870262145995,17.439870262145995,0.017659106514041123,0.017659106514041123,0.017659106514041123,85.57933749436026,0.2656020882303274,0.1709384356863961,0.09466365254393128,0.5644716171802016,434104400.0,0.5598468939729706,-0.012778628019426197,19.660299483091148,
